<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;240312;000000;160.62;163.31;160.56;162.99;26510020
GAZP;D;240313;000000;163.13;163.22;161.1;161.77;19180710
GAZP;D;240314;000000;161.8;161.81;160.53;161.1;13996010
GAZP;D;240315;000000;161.14;161.42;160.04;160.86;14151130
GAZP;D;240318;000000;161.12;161.43;160.31;160.58;14241450
GAZP;D;240319;000000;160.51;161.25;158.04;158.55;38252890
GAZP;D;240320;000000;158.6;158.98;157.75;158.42;21060990
GAZP;D;240321;000000;158.7;159.16;157.87;158.28;18038400
GAZP;D;240322;000000;158.39;158.69;156;156.44;28149960
GAZP;D;240325;000000;157.1;158.97;155.75;158.84;26914060
GAZP;D;240326;000000;159.1;159.45;156.9;157.94;27990050
GAZP;D;240327;000000;158.01;158.6;157.2;157.79;11865150
GAZP;D;240328;000000;157.79;157.95;157.04;157.05;10217550
GAZP;D;240329;000000;157.04;157.9;156.51;157.22;16044130
GAZP;D;240401;000000;157.69;158.25;157.43;158.06;16732650
GAZP;D;240402;000000;158.17;164.98;157.51;164.18;72244180
GAZP;D;240403;000000;164.1;165.36;162.12;162.63;42984880
GAZP;D;240404;000000;162.77;164.3;161.52;162.69;30238210
GAZP;D;240405;000000;162.78;164.63;162.1;163.59;22814020
GAZP;D;240408;000000;164.03;164.9;163.57;163.89;16445250
GAZP;D;240409;000000;164;165.79;163.49;164.08;29054750
GAZP;D;240410;000000;164.14;165.94;163.59;164.74;23208780
GAZP;D;240411;000000;164.97;166.33;164.15;166.24;30774040
GAZP;D;240412;000000;166.52;166.8;164.69;164.83;26202270
GAZP;D;240415;000000;165;165.66;163.27;163.33;21562710
GAZP;D;240416;000000;163.39;164.78;162.65;164.38;19254140
GAZP;D;240417;000000;164.58;165.68;163.78;164.62;20063060
GAZP;D;240418;000000;164.74;166.1;163.85;165.4;17621040
GAZP;D;240419;000000;165.53;168.15;165;167.03;36205320
GAZP;D;240422;000000;167.27;167.89;165.55;166.77;26923930
GAZP;D;240423;000000;166.59;167.43;162.62;163.7;34959300
GAZP;D;240424;000000;163.7;164.41;162.62;162.86;20797970
GAZP;D;240425;000000;162.99;164.2;162.67;163.35;14574730
GAZP;D;240426;000000;163.45;164.19;162.11;162.46;23101170
GAZP;D;240427;000000;162.6;166.49;161.7;164.06;31250400
GAZP;D;240429;000000;164.1;165.24;163.83;164.03;7800610
GAZP;D;240430;000000;164.35;164.55;163.22;163.22;7166760
GAZP;D;240502;000000;163.29;165.36;156.38;157.75;117380380
GAZP;D;240503;000000;157.43;157.74;154;155.2;66221110
GAZP;D;240506;000000;155.32;155.76;153;153.64;26977110
GAZP;D;240507;000000;154;154.96;153.5;154.16;16549540
GAZP;D;240508;000000;154.22;154.75;154.16;154.22;9615650
GAZP;D;240510;000000;154.24;154.89;154.24;154.58;4938150
